,census_tract_id
0,17031842400
1,17031840300
2,17031841100
3,17031841200
4,17031839000
5,17031838200
6,17031650301
7,17031530503
8,17031760803
9,17031030601
10,17031030604
11,17031020801
12,17031540102
13,17031843300
14,17031540101
15,17031440201
16,17031080202
17,17031070102
18,17031031501
19,17031031502
20,17031834900
21,17031834800
22,17031160502
23,17031140702
24,17031842000
25,17031150402
26,17031834400
27,17031040201
28,17031040202
29,17031020702
30,17031020802
31,17031020301
32,17031838700
33,17031020601
34,17031841500
35,17031838600
36,17031837300
37,17031020602
38,17031063301
39,17031837800
40,17031837400
41,17031836900
42,17031020302
43,17031020902
44,17031010701
45,17031030103
46,17031063303
47,17031030102
48,17031010502
49,17031010503
50,17031010702
51,17031837100
52,17031837000
53,17031010201
54,17031020901
55,17031040401
56,17031210602
57,17031160501
58,17031191302
59,17031190602
60,17031840200
61,17031530501
62,17031020701
63,17031831400
64,17031831300
65,17031010501
66,17031833000
67,17031760801
68,17031252101
69,17031252102
70,17031252202
71,17031220601
72,17031210502
73,17031220602
74,17031220901
75,17031220902
76,17031200401
77,17031200402
78,17031191301
79,17031190601
80,17031190701
81,17031190702
82,17031190401
83,17031190402
84,17031832100
85,17031843800
86,17031842800
87,17031351500
88,17031980100
89,17031833300
90,17031832900
91,17031838000
92,17031838100
93,17031030706
94,17031381500
95,17031833100
96,17031839100
97,17031081201
98,17031150401
99,17031150501
100,17031843000
101,17031842900
102,17031842100
103,17031841900
104,17031080201
105,17031070101
106,17031081202
107,17031040402
108,17031220702
109,17031140301
110,17031842200
111,17031843700
112,17031835000
113,17031842300
114,17031230200
115,17031835100
116,17031834700
117,17031151001
118,17031151002
119,17031160602
120,17031140601
121,17031140701
122,17031140602
123,17031390500
124,17031841800
125,17031842500
126,17031842600
127,17031843500
128,17031843400
129,17031140302
130,17031110501
131,17031390400
132,17031843200
133,17031840800
134,17031110502
135,17031760802
136,17031150502
137,17031843100
138,17031834300
139,17031843900
140,17031831200
141,17031831600
142,17031831500
143,17031831100
144,17031831700
145,17031271500
146,17031440202
147,17031440102
148,17031430102
149,17031030702
150,17031030603
151,17031030701
152,17031836300
153,17031838300
154,17031839800
155,17031836600
156,17031730202
157,17031430101
158,17031063302
159,17031836200
160,17031071400
161,17031840100
162,17031580502
163,17031081401
164,17031081403
165,17031030703
166,17031836000
167,17031835800
168,17031834500
169,17031843600
170,17031580501
171,17031834600
172,17031831800
173,17031071600
174,17031832600
175,17031061901
176,17031839900
177,17031030104
178,17031770602
179,17031839700
180,17031835200
181,17031833900
182,17031836800
183,17031838800
184,17031836700
185,17031832200
186,17031252201
187,17031831000
188,17031832400
189,17031070103
190,17031220701
191,17031770902
192,17031660301
193,17031660302
194,17031301802
195,17031834000
196,17031834200
197,17031730201
198,17031835500
199,17031839500
200,17031839200
201,17031530502
202,17031840400
203,17031841000
204,17031030101
205,17031700302
206,17031700402
207,17031700401
208,17031830500
209,17031841700
210,17031640100
211,17031840700
212,17031841300
213,17031301801
214,17031060800
215,17031832300
216,17031832500
217,17031832000
218,17031160601
219,17031210501
220,17031210601
221,17031081300
222,17031700502
223,17031836100
224,17031061100
225,17031836400
226,17031836500
227,17031839600
228,17031840000
229,17031835600
230,17031830800
231,17031460301
232,17031301701
233,17031310400
234,17031530100
235,17031081100
236,17031150700
237,17031301702
238,17031700301
239,17031490902
240,17031061800
241,17031490901
242,17031650302
243,17031831900
244,17031830600
245,17031830900
246,17031830700
247,17031300900
248,17031700501
249,17031460302
250,17031431302
251,17031222900
252,17031431301
253,17031440101
254,17031301803
255,17031310200
256,17031310300
257,17031310500
258,17031510300
259,17031491400
260,17031500200
261,17031530200
262,17031740100
263,17031140500
264,17031140800
265,17031301100
266,17031150200
267,17031150300
268,17031301200
269,17031740400
270,17031020400
271,17031640300
272,17031640600
273,17031010400
274,17031071800
275,17031160300
276,17031310700
277,17031071500
278,17031071700
279,17031671200
280,17031670500
281,17031670600
282,17031670700
283,17031670800
284,17031670900
285,17031671100
286,17031671300
287,17031671400
288,17031671500
289,17031671600
290,17031670100
291,17031230500
292,17031230600
293,17031240600
294,17031241000
295,17031191000
296,17031080300
297,17031300800
298,17031650200
299,17031660500
300,17031221400
301,17031161000
302,17031340600
303,17031240500
304,17031240700
305,17031240800
306,17031240900
307,17031241100
308,17031190300
309,17031190800
310,17031190900
311,17031191100
312,17031191200
313,17031080100
314,17031080400
315,17031081000
316,17031150600
317,17031301600
318,17031020500
319,17031821402
320,17031750300
321,17031640800
322,17031750100
323,17031740200
324,17031650400
325,17031650500
326,17031660600
327,17031221100
328,17031221300
329,17031221500
330,17031020100
331,17031221600
332,17031160800
333,17031160900
334,17031222800
335,17031161100
336,17031161200
337,17031161300
338,17031650100
339,17031330200
340,17031420600
341,17031420700
342,17031661000
343,17031823304
344,17031010100
345,17031230300
346,17031640400
347,17031640500
348,17031640700
349,17031151200
350,17031310800
351,17031660400
352,17031670400
353,17031340400
354,17031420800
355,17031421200
356,17031661100
357,17031222500
358,17031190200
359,17031390600
360,17031010300
361,17031010600
362,17031020200
363,17031150800
364,17031151100
365,17031230100
366,17031160100
367,17031160200
368,17031160400
369,17031310600
370,17031310900
371,17031320400
372,17031061500
373,17031320600
374,17031740300
375,17031660700
376,17031222700
377,17031221200
378,17031160700
379,17031222200
380,17031340500
381,17031340300
382,17031350400
383,17031750500
384,17031750400
385,17031750200
386,17031430200
387,17031660800
388,17031660900
389,17031670200
390,17031670300
391,17031222600
392,17031230400
393,17031170400
394,17031381900
395,17031390200
396,17031171000
397,17031180100
398,17031390300
399,17031390700
400,17031400300
401,17031400400
402,17031400500
403,17031400800
404,17031410100
405,17031440300
406,17031440700
407,17031430800
408,17031671800
409,17031680500
410,17031681100
411,17031200100
412,17031410200
413,17031680600
414,17031170600
415,17031381700
416,17031430300
417,17031430700
418,17031430900
419,17031431200
420,17031431400
421,17031230800
422,17031231100
423,17031170900
424,17031210100
425,17031420200
426,17031420300
427,17031440600
428,17031440800
429,17031440900
430,17031560400
431,17031450300
432,17031671900
433,17031672000
434,17031680900
435,17031681000
436,17031240200
437,17031240300
438,17031200200
439,17031410500
440,17031410600
441,17031170100
442,17031170200
443,17031170300
444,17031381800
445,17031170500
446,17031351400
447,17031381200
448,17031381400
449,17031390100
450,17031430400
451,17031430500
452,17031430600
453,17031230700
454,17031230900
455,17031231200
456,17031170700
457,17031170800
458,17031171100
459,17031190100
460,17031242200
461,17031200300
462,17031210400
463,17031220300
464,17031210700
465,17031210800
466,17031210900
467,17031420100
468,17031420400
469,17031420500
470,17031691300
471,17031031700
472,17031470100
473,17031480100
474,17031691000
475,17031242300
476,17031411100
477,17031460400
478,17031681200
479,17031690500
480,17031241400
481,17031241500
482,17031241600
483,17031242000
484,17031243300
485,17031491200
486,17031480300
487,17031710800
488,17031711300
489,17031010202
490,17031480200
491,17031480400
492,17031480500
493,17031241200
494,17031691100
495,17031691200
496,17031691400
497,17031051200
498,17031691500
499,17031700100
500,17031410700
501,17031410800
502,17031410900
503,17031411000
504,17031411200
505,17031530600
506,17031460100
507,17031460200
508,17031460500
509,17031241300
510,17031461000
511,17031681300
512,17031681400
513,17031060100
514,17031690300
515,17031690400
516,17031690900
517,17031060200
518,17031242100
519,17031243100
520,17031243200
521,17031611600
522,17031243400
523,17031243500
524,17031711100
525,17031250200
526,17031491000
527,17031491100
528,17031710100
529,17031510100
530,17031510200
531,17031710300
532,17031520200
533,17031710900
534,17031711000
535,17031711200
536,17031711400
537,17031081402
538,17031710600
539,17031061902
540,17031030200
541,17031030300
542,17031030400
543,17031030500
544,17031030800
545,17031242400
546,17031242500
547,17031242600
548,17031242700
549,17031242800
550,17031242900
551,17031243000
552,17031220400
553,17031220500
554,17031031800
555,17031221000
556,17031810400
557,17031031900
558,17031520500
559,17031720500
560,17031350100
561,17031351100
562,17031251200
563,17031570100
564,17031030900
565,17031250600
566,17031560100
567,17031032100
568,17031490500
569,17031490600
570,17031490700
571,17031490800
572,17031700200
573,17031710200
574,17031710400
575,17031710500
576,17031710700
577,17031251000
578,17031280400
579,17031580800
580,17031351000
581,17031360200
582,17031380100
583,17031231500
584,17031251100
585,17031550200
586,17031560800
587,17031560900
588,17031500300
589,17031561000
590,17031561100
591,17031570200
592,17031730400
593,17031730500
594,17031730600
595,17031730700
596,17031250300
597,17031250400
598,17031250500
599,17031250700
600,17031250800
601,17031520300
602,17031520600
603,17031560200
604,17031560300
605,17031560700
606,17031711500
607,17031720600
608,17031031000
609,17031580300
610,17031050500
611,17031050800
612,17031051000
613,17031051400
614,17031081900
615,17031252000
616,17031260300
617,17031040300
618,17031040800
619,17031050100
620,17031050200
621,17031050300
622,17031380200
623,17031600400
624,17031081500
625,17031720100
626,17031720200
627,17031720300
628,17031720700
629,17031730100
630,17031730300
631,17031031100
632,17031031200
633,17031031300
634,17031031400
635,17031570500
636,17031580100
637,17031580200
638,17031060300
639,17031580400
640,17031580600
641,17031530300
642,17031051300
643,17031500100
644,17031050600
645,17031050700
646,17031050900
647,17031051100
648,17031081800
649,17031090100
650,17031090200
651,17031090300
652,17031100100
653,17031260200
654,17031100200
655,17031260100
656,17031062400
657,17031491300
658,17031720400
659,17031530400
660,17031063400
661,17031750600
662,17031040100
663,17031040600
664,17031040700
665,17031040900
666,17031980000
667,17031081600
668,17031081700
669,17031251300
670,17031251400
671,17031251500
672,17031251900
673,17031260700
674,17031600900
675,17031611200
676,17031062800
677,17031062900
678,17031063000
679,17031063100
680,17031063200
681,17031110200
682,17031251600
683,17031251700
684,17031251800
685,17031570300
686,17031570400
687,17031100600
688,17031062200
689,17031100700
690,17031261000
691,17031062600
692,17031110100
693,17031260900
694,17031270500
695,17031520100
696,17031611400
697,17031610300
698,17031610800
699,17031062700
700,17031120300
701,17031271800
702,17031520400
703,17031260500
704,17031260600
705,17031580700
706,17031061200
707,17031590500
708,17031590600
709,17031590700
710,17031600600
711,17031600700
712,17031060400
713,17031060500
714,17031060900
715,17031061000
716,17031062000
717,17031062100
718,17031260400
719,17031260800
720,17031630800
721,17031100300
722,17031100400
723,17031100500
724,17031283100
725,17031271200
726,17031610400
727,17031611300
728,17031062300
729,17031062500
730,17031070700
731,17031071100
732,17031071300
733,17031140200
734,17031070600
735,17031120400
736,17031130100
737,17031130200
738,17031140100
739,17031283200
740,17031140400
741,17031292400
742,17031282700
743,17031292500
744,17031300600
745,17031300700
746,17031282800
747,17031283800
748,17031290900
749,17031291600
750,17031271300
751,17031280900
752,17031611700
753,17031612100
754,17031070300
755,17031300500
756,17031291200
757,17031620300
758,17031620400
759,17031630300
760,17031630400
761,17031630500
762,17031110300
763,17031110400
764,17031280100
765,17031120100
766,17031280800
767,17031120200
768,17031271400
769,17031071000
770,17031281900
771,17031550100
772,17031071200
773,17031611500
774,17031611800
