,image_id,census_tract_id
0,2315,17031630900.0
1,1860,17031400500.0
2,20396,17031400400.0
3,12448,17031390300.0
4,16657,17031670300.0
5,38055,17031670200.0
6,11148,17031430200.0
7,28832,17031350400.0
8,15386,17031340300.0
9,45239,17031340500.0
10,46157,17031660700.0
11,35041,17031670400.0
12,4247,17031420700.0
13,30111,17031420600.0
14,23830,17031301600.0
15,36677,17031400800.0
16,30618,17031340600.0
17,1219,17031230500.0
18,15944,17031670100.0
19,50659,17031671600.0
20,31221,17031671300.0
21,25396,17031671100.0
22,11723,17031670900.0
23,14591,17031670800.0
24,56018,17031670700.0
25,18434,17031670600.0
26,9364,17031670500.0
27,58525,17031301100.0
28,60024,17031500200.0
29,50950,17031491400.0
30,16309,17031510300.0
31,3005,17031300800.0
32,54731,17031680500.0
33,49496,17031681100.0
34,37197,17031430300.0
35,10912,17031231500.0
36,28494,17031380100.0
37,2676,17031360200.0
38,8826,17031251000.0
39,59113,17031710500.0
40,4348,17031560100.0
41,1767,17031351100.0
42,29239,17031710100.0
43,42412,17031491000.0
44,25096,17031611600.0
45,36508,17031690900.0
46,6202,17031690400.0
47,51167,17031681300.0
48,6550,17031461000.0
49,38636,17031460200.0
50,21309,17031691500.0
51,7562,17031691200.0
52,2065,17031430700.0
53,52346,17031420200.0
54,24647,17031420300.0
55,2433,17031440800.0
56,53508,17031680900.0
57,4240,17031681000.0
58,41645,17031440101.0
59,41065,17031410600.0
60,2831,17031420100.0
61,8056,17031420400.0
62,32929,17031420500.0
63,51536,17031681200.0
64,9225,17031710800.0
65,1053,17031691100.0
66,42661,17031351400.0
67,18093,17031431301.0
68,33082,17031431302.0
69,18864,17031460302.0
70,58754,17031834400.0
71,11760,17031440201.0
72,34675,17031540101.0
73,23607,17031843300.0
74,41693,17031540102.0
75,44185,17031630900.0
76,24260,17031611900.0
77,6305,17031271400.0
78,10186,17031280800.0
79,42456,17031630400.0
80,31790,17031291200.0
81,39055,17031612100.0
82,21773,17031611700.0
83,49358,17031271300.0
84,5592,17031290900.0
85,32127,17031271200.0
86,45513,17031610300.0
87,42525,17031251100.0
88,7693,17031252000.0
89,36964,17031260300.0
90,51291,17031380200.0
91,41942,17031031200.0
92,49244,17031491300.0
93,30452,17031838700.0
94,59441,17031251400.0
95,22460,17031260700.0
96,6976,17031611200.0
97,54153,17031251600.0
98,59974,17031251800.0
99,16180,17031260900.0
100,39883,17031270500.0
101,45226,17031251900.0
102,27771,17031251100.0
103,34857,17031841500.0
104,49628,17031010503.0
105,38993,17031300900.0
106,33635,17031490901.0
107,17928,17031530100.0
108,40501,17031460301.0
109,52727,17031835600.0
110,17095,17031836400.0
111,56297,17031836100.0
112,59165,17031841700.0
113,37849,17031835500.0
114,54511,17031834000.0
115,6575,17031660301.0
116,20408,17031838800.0
117,27851,17031836800.0
118,855,17031833900.0
119,24220,17031834600.0
120,51970,17031430101.0
121,34809,17031440202.0
122,42885,17031837000.0
123,55370,17031831400.0
124,6194,17031843800.0
125,31046,17031838000.0
126,8099,17031838100.0
127,47077,17031381500.0
128,29477,17031837300.0
129,50820,17031843000.0
130,6246,17031835000.0
131,7350,17031834700.0
132,19736,17031842500.0
133,58916,17031843500.0
134,33770,17031843400.0
135,5857,17031390400.0
136,32810,17031842900.0
137,5086,17031252000.0
138,8143,17031260300.0
139,21875,17031380200.0
140,31183,17031420200.0
141,2851,17031430700.0
142,55535,17031430300.0
143,42363,17031681100.0
144,58933,17031680500.0
145,42326,17031400800.0
146,46715,17031400500.0
147,59118,17031400400.0
148,16058,17031390300.0
149,22087,17031670300.0
150,6965,17031670200.0
151,18344,17031430200.0
152,16541,17031350400.0
153,55253,17031340300.0
154,59998,17031340500.0
155,32739,17031660700.0
156,57896,17031670400.0
157,45852,17031670600.0
158,37566,17031670700.0
159,57894,17031670800.0
160,47047,17031670900.0
161,30223,17031671100.0
162,58759,17031671300.0
163,29418,17031420300.0
164,31442,17031671600.0
165,57692,17031230500.0
166,50996,17031300800.0
167,50778,17031340600.0
168,31192,17031301600.0
169,48790,17031420600.0
170,14193,17031420700.0
171,29791,17031670100.0
172,58135,17031670500.0
173,7790,17031440800.0
174,32492,17031681000.0
175,37044,17031491300.0
176,51643,17031031200.0
177,11957,17031380200.0
178,29238,17031260300.0
179,18261,17031252000.0
180,47659,17031251100.0
181,48266,17031231500.0
182,16695,17031380100.0
183,14297,17031360200.0
184,41851,17031251000.0
185,5902,17031710500.0
186,11523,17031560100.0
187,52686,17031351100.0
188,22033,17031710100.0
189,3186,17031491000.0
190,3744,17031611600.0
191,59109,17031690900.0
192,56946,17031410600.0
193,47360,17031351400.0
194,21222,17031420100.0
195,57163,17031420400.0
196,19174,17031420500.0
197,25912,17031681200.0
198,41038,17031680900.0
199,11400,17031710800.0
200,43335,17031691200.0
201,52568,17031691500.0
202,29505,17031460200.0
203,25796,17031461000.0
204,54921,17031681300.0
205,20018,17031690400.0
206,59513,17031691100.0
207,23526,17031231500.0
208,21534,17031301100.0
209,60100,17031491400.0
210,13058,17031837000.0
211,1357,17031010503.0
212,56941,17031837300.0
213,27175,17031841500.0
214,38360,17031838700.0
215,21353,17031834400.0
216,3375,17031440201.0
217,34593,17031540101.0
218,7161,17031843300.0
219,32895,17031540102.0
220,12331,17031611900.0
221,37583,17031271400.0
222,34891,17031280800.0
223,40955,17031630400.0
224,25399,17031291200.0
225,25846,17031612100.0
226,14883,17031611700.0
227,20739,17031031200.0
228,32682,17031491300.0
229,58131,17031251400.0
230,32806,17031251900.0
231,51166,17031260700.0
232,55046,17031611200.0
233,55463,17031831400.0
234,25778,17031251600.0
235,8415,17031260900.0
236,38844,17031270500.0
237,33230,17031610300.0
238,32084,17031271200.0
239,36669,17031290900.0
240,49797,17031271300.0
241,335,17031251800.0
242,2261,17031500200.0
243,32642,17031843800.0
244,18010,17031838100.0
245,58924,17031510300.0
246,41142,17031440101.0
247,35961,17031431301.0
248,16239,17031431302.0
249,9660,17031460302.0
250,20340,17031300900.0
251,16341,17031490901.0
252,5327,17031530100.0
253,24205,17031460301.0
254,35190,17031835600.0
255,27433,17031836400.0
256,13236,17031836100.0
257,45541,17031841700.0
258,46399,17031835500.0
259,24469,17031834000.0
260,21208,17031660301.0
261,52045,17031838800.0
262,14593,17031381500.0
263,45610,17031843000.0
264,21851,17031842900.0
265,59468,17031835000.0
266,48696,17031834700.0
267,12162,17031842500.0
268,21358,17031838000.0
269,49049,17031843500.0
270,20853,17031390400.0
271,5717,17031440202.0
272,29673,17031430101.0
273,47236,17031834600.0
274,30200,17031833900.0
275,6924,17031836800.0
276,36712,17031843400.0
277,9519,17031251400.0
278,996,17031380100.0
279,22525,17031251000.0
280,40811,17031660700.0
281,25673,17031670400.0
282,39675,17031420700.0
283,49385,17031420600.0
284,45306,17031301600.0
285,37080,17031340600.0
286,36027,17031300800.0
287,51303,17031230500.0
288,23699,17031670100.0
289,48206,17031671600.0
290,17262,17031671300.0
291,47344,17031671100.0
292,36467,17031670900.0
293,33404,17031670800.0
294,55085,17031340500.0
295,48527,17031670700.0
296,17316,17031670500.0
297,44559,17031301100.0
298,53991,17031500200.0
299,16062,17031491400.0
300,19430,17031510300.0
301,35507,17031440101.0
302,53362,17031431301.0
303,6930,17031431302.0
304,31075,17031460302.0
305,35084,17031300900.0
306,31941,17031490901.0
307,59905,17031530100.0
308,33893,17031460301.0
309,1052,17031835600.0
310,16002,17031670600.0
311,3290,17031340300.0
312,35153,17031350400.0
313,24709,17031430200.0
314,23907,17031611600.0
315,52314,17031690900.0
316,58410,17031690400.0
317,39221,17031681300.0
318,45951,17031461000.0
319,33456,17031460200.0
320,19513,17031691500.0
321,16279,17031691200.0
322,43245,17031691100.0
323,49588,17031710800.0
324,32613,17031681200.0
325,1515,17031420500.0
326,24638,17031420400.0
327,25596,17031420100.0
328,14497,17031351400.0
329,53073,17031410600.0
330,25343,17031681000.0
331,19051,17031670200.0
332,11094,17031670300.0
333,3823,17031390300.0
334,16274,17031400400.0
335,11102,17031400500.0
336,51292,17031400800.0
337,2230,17031836400.0
338,3869,17031680500.0
339,54077,17031430300.0
340,25993,17031430700.0
341,13179,17031420200.0
342,25972,17031420300.0
343,47029,17031440800.0
344,44440,17031680900.0
345,2721,17031681100.0
346,35224,17031836100.0
347,27582,17031841700.0
348,26947,17031835500.0
349,10827,17031630400.0
350,17403,17031291200.0
351,1676,17031612100.0
352,59549,17031611700.0
353,47741,17031271300.0
354,36363,17031290900.0
355,17685,17031271200.0
356,22905,17031610300.0
357,35272,17031270500.0
358,30038,17031260900.0
359,22421,17031251800.0
360,16825,17031251600.0
361,50282,17031611200.0
362,13443,17031260700.0
363,32990,17031251900.0
364,599,17031251400.0
365,11955,17031491300.0
366,36220,17031491000.0
367,53958,17031710100.0
368,2634,17031351100.0
369,47095,17031560100.0
370,23684,17031710500.0
371,8483,17031251000.0
372,23845,17031280800.0
373,60240,17031360200.0
374,56227,17031231500.0
375,30018,17031251100.0
376,43517,17031252000.0
377,40961,17031260300.0
378,59247,17031380200.0
379,45682,17031031200.0
380,46045,17031380100.0
381,6739,17031491000.0
382,12075,17031271400.0
383,53499,17031630900.0
384,56479,17031834000.0
385,58090,17031660301.0
386,56604,17031838800.0
387,34411,17031836800.0
388,45523,17031833900.0
389,27031,17031834600.0
390,32451,17031430101.0
391,47372,17031440202.0
392,27694,17031390400.0
393,19928,17031843400.0
394,29180,17031843500.0
395,50639,17031842500.0
396,57956,17031834700.0
397,30270,17031835000.0
398,33625,17031842900.0
399,5167,17031843000.0
400,17555,17031381500.0
401,33071,17031540102.0
402,35802,17031843300.0
403,15595,17031540101.0
404,43364,17031440201.0
405,47336,17031834400.0
406,48869,17031838700.0
407,7426,17031611900.0
408,17496,17031841500.0
409,31689,17031010503.0
410,54116,17031837000.0
411,28174,17031831400.0
412,50828,17031843800.0
413,6001,17031838000.0
414,53140,17031838100.0
415,5965,17031837300.0
416,42505,17031710100.0
417,45086,17031351100.0
418,21710,17031560100.0
419,17188,17031670200.0
420,24190,17031430200.0
421,8196,17031350400.0
422,28661,17031340300.0
423,48193,17031340500.0
424,36632,17031660700.0
425,12192,17031670400.0
426,16833,17031420700.0
427,22128,17031420600.0
428,48160,17031301600.0
429,52195,17031340600.0
430,20901,17031300800.0
431,59018,17031230500.0
432,6880,17031670100.0
433,5484,17031671600.0
434,13234,17031671300.0
435,48322,17031671100.0
436,48398,17031300900.0
437,13985,17031460302.0
438,39097,17031431302.0
439,10386,17031431301.0
440,11902,17031440101.0
441,48438,17031510300.0
442,36261,17031670300.0
443,27594,17031491400.0
444,4563,17031301100.0
445,34154,17031670500.0
446,33870,17031670600.0
447,4559,17031670700.0
448,45111,17031670800.0
449,12023,17031670900.0
450,59688,17031500200.0
451,25546,17031490901.0
452,51496,17031390300.0
453,38528,17031400500.0
454,22551,17031710500.0
455,31836,17031560100.0
456,6660,17031351100.0
457,14647,17031710100.0
458,60051,17031491000.0
459,9028,17031611600.0
460,37011,17031690900.0
461,55036,17031690400.0
462,14684,17031681300.0
463,58360,17031461000.0
464,14871,17031460200.0
465,51939,17031691500.0
466,55385,17031691200.0
467,35031,17031691100.0
468,11123,17031710800.0
469,46434,17031681200.0
470,30152,17031420500.0
471,46325,17031400800.0
472,42593,17031680500.0
473,54474,17031681100.0
474,49622,17031430300.0
475,49610,17031430700.0
476,24562,17031420200.0
477,11943,17031400400.0
478,15334,17031420300.0
479,57341,17031680900.0
480,20307,17031681000.0
481,17101,17031410600.0
482,3293,17031351400.0
483,32139,17031420100.0
484,5971,17031420400.0
